No of Lines,Probes,N,Actual_infected,Appx_Infected_PerLine,Host/Probe,Appx_Inf/Probe,Contamination,Zone
5,420,3500,292,58,700,58.4,17.823479005998287,Collection Zone
5,420,3500,292,58,700,58.4,15.195658383319053,Collection Zone
5,420,3500,292,58,700,58.4,17.794915738360466,Collection Zone
5,420,3500,292,58,700,58.4,17.623536132533562,Collection Zone
5,420,3500,292,58,700,58.4,16.709511568123396,Collection Zone
5,420,3500,292,58,700,58.4,15.709797200799771,Collection Zone
5,420,3500,292,58,700,58.4,15.99542987717795,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,17.109397315052842,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,16.252499285918308,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,17.823479005998287,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,15.024278777492144,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,16.48100542702085,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,14.424450157097974,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,15.309911453870322,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,15.509854327335045,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,15.824050271351043,Collection Zone
6,504,3500,292,48,583.3333333333334,48.666666666666664,16.652385032847757,Collection Zone
7,588,3500,292,41,500,41.714285714285715,16.33818908883176,Collection Zone
7,588,3500,292,41,500,41.714285714285715,16.252499285918308,Collection Zone
7,588,3500,292,41,500,41.714285714285715,17.309340188517567,Collection Zone
7,588,3500,292,41,500,41.714285714285715,15.566980862610682,Collection Zone
7,588,3500,292,41,500,41.714285714285715,13.910311339617252,Collection Zone
7,588,3500,292,41,500,41.714285714285715,16.42387889174522,Collection Zone
7,588,3500,292,41,500,41.714285714285715,18.42330762639246,Collection Zone
7,588,3500,292,41,500,41.714285714285715,16.909454441588117,Collection Zone
7,588,3500,292,41,500,41.714285714285715,16.33818908883176,Collection Zone
7,588,3500,292,41,500,41.714285714285715,17.309340188517567,Collection Zone
8,672,3500,292,36,437.5,36.5,15.85261353898886,Collection Zone
8,672,3500,292,36,437.5,36.5,15.109968580405598,Collection Zone
8,672,3500,292,36,437.5,36.5,16.0811196800914,Collection Zone
8,672,3500,292,36,437.5,36.5,16.252499285918308,Collection Zone
8,672,3500,292,36,437.5,36.5,14.710082833476148,Collection Zone
8,672,3500,292,36,437.5,36.5,16.73807483576121,Collection Zone
8,672,3500,292,36,437.5,36.5,15.395601256783776,Collection Zone
8,672,3500,292,36,437.5,36.5,18.394744358754643,Collection Zone
8,672,3500,292,36,437.5,36.5,15.509854327335045,Collection Zone
8,672,3500,292,36,437.5,36.5,14.881462439303055,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,15.566980862610682,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,17.423593259068838,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,16.909454441588117,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,15.709797200799771,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,14.652956298200515,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,15.99542987717795,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,15.195658383319053,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,14.710082833476148,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,15.5955441302485,Collection Zone
9,756,3500,292,32,388.8888888888889,32.44444444444444,15.109968580405598,Collection Zone
10,840,3500,292,29,350,29.2,15.452727792059411,Collection Zone
10,840,3500,292,29,350,29.2,14.938588974578693,Collection Zone
10,840,3500,292,29,350,29.2,14.681519565838332,Collection Zone
10,840,3500,292,29,350,29.2,16.709511568123396,Collection Zone
10,840,3500,292,29,350,29.2,16.166809483004858,Collection Zone
10,840,3500,292,29,350,29.2,18.109111682376465,Collection Zone
10,840,3500,292,29,350,29.2,15.881176806626678,Collection Zone
10,840,3500,292,29,350,29.2,16.538131962296486,Collection Zone
10,840,3500,292,29,350,29.2,15.766923736075409,Collection Zone
10,840,3500,292,29,350,29.2,17.53784632962011,Collection Zone
